timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
137136000,137136000,0,nan,nan,0.0074429335,-0.012488134,-0.0033728532,0.0,0.0,0.0,0.012898267,0.00049881515,0.009598039,0.008086191,-0.0071572475,0.0019386406,0.0010469928,0.0025187617,0.0030274384,0.05504116,-0.4599406,0.032935616,-0.0019223643,-0.0029205992,0.00055392063,nan,0.09950522,0.29887515,0.42989355,0.29372886,0.11604812,inf,inf,inf,inf,0,1,0,1,2,1,2,1,2,0,0,0,1,0,1
137632000,137632000,137298000,37.4135339,-121.99656089999999,0.0013151526,-0.00025657084,-0.0048602945,-0.009727469,0.011807502,0.0,0.0006772128,-0.0014427914,-0.005229715,-0.008876411,-0.012440832,-0.0016819163,-0.02094555,-0.011383628,-0.029526599,0.008733011,-0.46039328,0.032817528,-0.0020639696,-0.0029205992,0.0005848529,1.3044062,0.10225505,1.4161868,0.43713903,0.42575818,0.4501166,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
138136000,138136000,137298000,37.4135339,-121.99656089999999,-0.001027708,-0.0041258805,-0.009241664,-0.009727469,0.011807502,0.0,-0.0063608456,-0.0011757378,-1.8337712e-05,-0.003490307,-0.012440832,-0.0016819163,-0.02094555,-0.03477591,0.0058779693,0.025549902,-0.4606598,0.032726575,-0.002232074,-0.0029205992,0.0006192188,1.3044062,0.10056363,1.0104314,0.41667065,0.31249243,0.31478038,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
138632000,138632000,137298000,37.4135339,-121.99656089999999,-0.0034658294,-0.0039105103,-0.01207069,-0.009727469,0.011807502,0.0,-0.0052031875,-0.0014762894,0.0021618747,-0.0016354509,-0.012440832,-0.0016819163,-0.02094555,-0.009461917,0.055242516,0.047444362,-0.46089545,0.032651752,-0.002433929,-0.0029205992,0.0006423159,1.3044062,0.10339266,0.8392946,0.41211966,0.28269455,0.2518296,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
139136000,139136000,137298000,37.4135339,-121.99656089999999,-0.0012038749,-0.0014689985,-0.012038143,-0.009727469,0.011807502,0.0,0.0027887395,0.0027102812,0.006187515,0.0015840584,-0.012440832,-0.0016819163,-0.02094555,0.005354231,0.0045886696,0.011839903,-0.46085143,0.032565616,-0.0024818492,-0.0029205992,0.00059838395,1.3044062,0.10131789,0.6545465,0.36937445,0.23931298,0.18759032,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
139632000,139632000,137298000,37.4135339,-121.99656089999999,0.001621667,-0.00087444903,-0.015280748,-0.009727469,0.011807502,0.0,0.0057183355,0.0020620557,0.007055162,0.0004959758,-0.012440832,-0.0016819163,-0.02094555,-0.0055893613,-0.010921968,0.013289041,-0.46098056,0.03248822,-0.0026173426,-0.0029205992,0.0005677609,1.3044062,0.101022005,0.6147246,0.36986116,0.25259155,0.16585329,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
140136000,140136000,137298000,37.4135339,-121.99656089999999,0.004290652,-0.0067100897,-0.016118933,-0.009727469,0.011807502,0.0,0.008021101,-0.004013603,0.006897986,-0.0005323042,-0.012440832,-0.0016819163,-0.02094555,0.026783831,-0.0126095535,0.03202725,-0.46100894,0.032406893,-0.0027132104,-0.0029205992,0.0005278683,1.3044062,0.098630965,0.5919502,0.37321132,0.26728144,0.14896294,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
140632000,140632000,137298000,37.4135339,-121.99656089999999,0.00060667825,-0.00886932,-0.016046729,-0.009727469,0.011807502,0.0,0.005212213,-0.0066031064,0.00976632,0.0025884344,-0.012440832,-0.0016819163,-0.02094555,-0.00328281,-0.072120816,-0.014971009,-0.46086738,0.032340713,-0.0028135113,-0.0029205992,0.00048765866,1.3044062,0.101686254,0.5805447,0.37497643,0.27848756,0.13536555,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
141136000,141136000,137298000,37.4135339,-121.99656089999999,0.005233177,-0.009571609,-0.009477394,-0.009727469,0.011807502,0.0,0.010977439,-0.005920104,0.011742339,0.008417286,-0.012440832,-0.0016819163,-0.02094555,-0.027422428,0.08958694,0.007941387,-0.46078217,0.032271426,-0.002828755,-0.0029205992,0.00040436364,1.3044062,0.0997439,0.5183752,0.34590796,0.23797302,0.11582522,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
141632000,141632000,137298000,37.4135339,-121.99656089999999,0.009119182,-0.012920672,-0.007980353,-0.009727469,0.011807502,0.0,0.012925671,-0.007284721,0.015712908,0.00877731,-0.012440832,-0.0016819163,-0.02094555,0.006631977,-0.013055097,-0.020475125,-0.46110228,0.032224152,-0.0029550504,-0.0029205992,0.00037935743,1.3044062,0.0945724,0.5186225,0.34763065,0.24312599,0.10837198,inf,inf,inf,inf,1,1,1,1,3,1,3,2,2,0,1,1,1,0,0
