timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
193700000,-0.003195802,-0.008788428,-0.003994747,4000,0,-0.07105957,-0.006646044,-9.863587,4000,0,0,1,1
193704000,-0.005326329,-0.009587375,-0.0021305347,4000,0,-0.049511764,0.0053249677,-9.845631,4000,0,0,1,1
193708000,-0.004527376,-0.009853696,-0.0018642099,4000,0,-0.03394945,-0.005448945,-9.838447,4000,0,0,1,1
193712000,-0.0029294812,-0.009054749,-0.0005326284,4000,0,-0.044723365,-0.01981415,-9.838447,4000,0,0,1,1
193716000,-0.0031957994,-0.008255799,0.001331579,4000,0,-0.043526262,-0.018617049,-9.855207,4000,0,0,1,1
193720000,-0.0031957948,-0.0061252713,0.0013315784,4000,0,-0.03514655,-0.013828635,-9.858797,4000,0,0,1,1
193728000,1.725824e-09,-0.0021305305,-0.002396844,4000,0,-0.04711756,-0.019814158,-9.830066,4000,0,0,1,1
193732000,-0.00079895166,-0.0058589545,-0.0021305298,4000,0,-0.07225667,-0.019814158,-9.826476,4000,0,0,1,1
193736000,-0.002130532,-0.0071905344,-0.0010652669,4000,0,-0.07465089,-0.025799649,-9.819293,4000,0,0,1,1
193744000,-0.00026631585,-0.0061252723,-0.0015978939,4000,0,-0.049511764,-0.012631536,-9.832463,4000,0,0,1,1
193748000,-0.0007989484,-0.003994742,-0.0010652659,4000,0,-0.049511764,0.0029307683,-9.8312645,4000,0,0,1,1
193752000,-0.0018642131,-0.0023968446,-0.00053263415,4000,0,-0.05070885,-0.003054731,-9.8073225,4000,0,0,1,1
193756000,-0.000266317,-0.0023968446,0.00053263345,4000,0,-0.056694373,-0.013828636,-9.797746,4000,0,0,1,1
193760000,0.0013315816,-0.0023968448,-0.0007989473,4000,0,-0.07824218,-0.01981415,-9.773803,4000,0,0,1,1
193768000,0.002663161,-0.0007989499,-0.0015978962,4000,0,-0.043526262,-0.009040246,-9.765425,4000,0,0,1,1
193772000,0.0015978958,-0.00213053,-0.00026631766,4000,0,-0.04711756,-0.032982253,-9.765425,4000,0,0,1,1
193776000,0.0010652656,-0.004527374,-0.0018642147,4000,0,-0.042329162,-0.047347464,-9.777396,4000,0,0,1,1
193780000,0.0002663145,-0.005858955,-0.0013315825,4000,0,-0.026766853,-0.03178515,-9.764226,4000,0,0,1,1
193784000,0.00053262996,-0.0053263227,4.7443244e-10,4000,0,-0.045920465,-0.026996756,-9.733102,4000,0,0,1,1
193788000,0.0015978974,-0.003728426,-0.00026631402,4000,0,-0.056694344,-0.03657357,-9.731905,4000,0,0,1,1
193796000,0.003462109,-0.0023968464,0.00079894887,4000,0,-0.039934967,-0.0042518317,-9.742679,4000,0,0,1,1
193800000,0.0026631611,-0.0042610597,0.0013315778,4000,0,-0.054300148,-0.016222844,-9.753451,4000,0,0,1,1
193804000,0.0002663187,-0.003994742,-0.0005326355,4000,0,-0.06627119,-0.032982253,-9.737891,4000,0,0,1,1
193808000,-0.00026631565,-0.0031957936,-0.00079894916,4000,0,-0.06627119,-0.052135885,-9.707964,4000,0,0,1,1
193812000,-0.0013315803,-0.0023968448,-0.00079894974,4000,0,-0.061482772,-0.05333298,-9.717541,4000,0,0,1,1
193816000,-0.0026631604,-0.00079894846,-0.0015978988,4000,0,-0.057891477,-0.04016486,-9.735496,4000,0,0,1,1
193824000,-0.0005326323,0.0013315802,-0.0015978974,4000,0,-0.044723365,-0.044953268,-9.758243,4000,0,0,1,1
193828000,-0.0013315816,0.00079894863,-0.0031957934,4000,0,-0.04711756,-0.04016486,-9.782183,4000,0,0,1,1
193832000,-0.0010652654,0.00026631568,-0.0037284258,4000,0,-0.07584799,-0.02220835,-9.780986,4000,0,0,1,1
193836000,-0.0007989503,-0.0013315806,-0.0029294773,4000,0,-0.098592915,-0.01981415,-9.786973,4000,0,0,1,1
193840000,-0.0021305312,-0.0026631595,-0.00053263264,4000,0,-0.085424796,-0.028193856,-9.791759,4000,0,0,1,1
